page_no,link_text,link_destination,jade_mnc_link,jade_article_link
96,[2014]QCA349,https://archive.sclqld.org.au/qjudgment/2014/QCA14-349.pdf,https://jade.io/mnc/2014/qca/349,https://jade.io/article/364210
97,[2007]HCA55,https://www.hcourt.gov.au/sites/default/files/eresources/2007/HCA/55.pdf,https://jade.io/mnc/2007/hca/55,https://jade.io/article/18380
100,[2021]HCA12,https://www.hcourt.gov.au/sites/default/files/eresources/2021/HCA/12.pdf,https://jade.io/mnc/2021/hca/12,https://jade.io/article/802223
112,[2007]HCA59,https://www.hcourt.gov.au/sites/default/files/eresources/2007/HCA/59.pdf,https://jade.io/mnc/2007/hca/59,https://jade.io/article/18712
112,[2007]HCA59,https://www.hcourt.gov.au/sites/default/files/eresources/2007/HCA/59.pdf,https://jade.io/mnc/2007/hca/59,https://jade.io/article/18712
119,[2010]QCA372,http://archive.sclqld.org.au/qjudgment/2010/QCA10-372.pdf,https://jade.io/mnc/2010/qca/372,https://jade.io/article/207346
119,[2000]HCA60,https://www.hcourt.gov.au/sites/default/files/eresources/2000/HCA/60.pdf,https://jade.io/mnc/2000/hca/60,https://jade.io/article/68230
119,[2024]QCA205,https://archive.sclqld.org.au/qjudgment/2024/QCA24-205.pdf,https://jade.io/mnc/2024/qca/205,https://jade.io/article/1105551
122,[2013]QCA91,http://archive.sclqld.org.au/qjudgment/2013/QCA13-091.pdf,https://jade.io/mnc/2013/qca/91,https://jade.io/article/293993
126,[2014]QCA5,http://archive.sclqld.org.au/qjudgment/2014/QCA14-005.pdf,https://jade.io/mnc/2014/qca/5,https://jade.io/article/313541
129,[2017]HCA36,https://www.hcourt.gov.au/sites/default/files/eresources/2017/HCA/36.pdf,https://jade.io/mnc/2017/hca/36,https://jade.io/article/547503
131,[2001]QCA183,http://archive.sclqld.org.au/qjudgment/2001/QCA01-183.pdf,https://jade.io/mnc/2001/qca/183,https://jade.io/article/167010
131,[2002]HCA20,https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/20.pdf,https://jade.io/mnc/2002/hca/20,https://jade.io/article/68329
131,[2004]QCA99,http://archive.sclqld.org.au/qjudgment/2004/QCA04-099.pdf,https://jade.io/mnc/2004/qca/99,https://jade.io/article/168361
132,[2020]QCA37,https://archive.sclqld.org.au/qjudgment/2020/QCA20-037.pdf,https://jade.io/mnc/2020/qca/37,https://jade.io/article/717422
132,[2003]HCA29,https://www.hcourt.gov.au/sites/default/files/eresources/2003/HCA/29.pdf,https://jade.io/mnc/2003/hca/29,https://jade.io/article/68398
134,[2005]HCA65,https://www.hcourt.gov.au/sites/default/files/eresources/2005/HCA/65.pdf,https://jade.io/mnc/2005/hca/65,https://jade.io/article/340
134,[2005]HCA34,https://www.hcourt.gov.au/sites/default/files/eresources/2005/HCA/34.pdf,https://jade.io/mnc/2005/hca/34,https://jade.io/article/309
134,[2002]HCA26,https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/26.pdf,https://jade.io/mnc/2002/hca/26,https://jade.io/article/68335
144,[2015]HCA27,https://www.hcourt.gov.au/sites/default/files/eresources/2015/HCA/27.pdf,https://jade.io/mnc/2015/hca/27,https://jade.io/article/402565
144,[2012]QCA167,http://archive.sclqld.org.au/qjudgment/2012/QCA12-167.pdf,https://jade.io/mnc/2012/qca/167,https://jade.io/article/267111
144,[2012]QCA167,http://archive.sclqld.org.au/qjudgment/2012/QCA12-167.pdf,https://jade.io/mnc/2012/qca/167,https://jade.io/article/267111
150,[1996]QCA405,http://archive.sclqld.org.au/qjudgment/1996/QCA96-405.pdf,https://jade.io/mnc/1996/qca/405,https://jade.io/article/165673
150,[1996]QCA405,http://archive.sclqld.org.au/qjudgment/1996/QCA96-405.pdf,https://jade.io/mnc/1996/qca/405,https://jade.io/article/165673
152,[2019]HCA48,https://www.hcourt.gov.au/sites/default/files/eresources/2019/HCA/48.pdf,https://jade.io/mnc/2019/hca/48,https://jade.io/article/694847
152,[2001]HCA25,https://www.hcourt.gov.au/sites/default/files/eresources/2001/HCA/25.pdf,https://jade.io/mnc/2001/hca/25,https://jade.io/article/68257
152,[2014]QCA132,http://archive.sclqld.org.au/qjudgment/2014/QCA14-132.pdf,https://jade.io/mnc/2014/qca/132,https://jade.io/article/336292
153,[2006]QCA158,http://archive.sclqld.org.au/qjudgment/2006/QCA06-158.pdf,https://jade.io/mnc/2006/qca/158,https://jade.io/article/169285
153,[2008]QCA412,http://archive.sclqld.org.au/qjudgment/2008/QCA08-412.pdf,https://jade.io/mnc/2008/qca/412,https://jade.io/article/88005
155,[2001]HCA25,https://www.hcourt.gov.au/sites/default/files/eresources/2001/HCA/25.pdf,https://jade.io/mnc/2001/hca/25,https://jade.io/article/68257
155,[2014]QCA132,http://archive.sclqld.org.au/qjudgment/2014/QCA14-132.pdf,https://jade.io/mnc/2014/qca/132,https://jade.io/article/336292
155,[2004]QCA419,http://archive.sclqld.org.au/qjudgment/2004/QCA04-419.pdf,https://jade.io/mnc/2004/qca/419,https://jade.io/article/168648
155,[2004]QCA393,http://archive.sclqld.org.au/qjudgment/2004/QCA04-393.pdf,https://jade.io/mnc/2004/qca/393,https://jade.io/article/168619
172,[2006]QCA220,http://archive.sclqld.org.au/qjudgment/2006/QCA06-220.pdf,https://jade.io/mnc/2006/qca/220,https://jade.io/article/169346
173,[2021]HCA36,https://www.hcourt.gov.au/sites/default/files/eresources/2021/HCA/36.pdf,https://jade.io/mnc/2021/hca/36,https://jade.io/article/847521
173,[2021]HCA36,https://www.hcourt.gov.au/sites/default/files/eresources/2021/HCA/36.pdf,https://jade.io/mnc/2021/hca/36,https://jade.io/article/847521
178,[2020]HCA23,https://www.hcourt.gov.au/sites/default/files/eresources/2020/HCA/23.pdf,https://jade.io/mnc/2020/hca/23,https://jade.io/article/754178
180,[1999]HCA42,https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-30/HCA/Robinson%20v%20The%20Queen%20%28B59-1998%29%20%5B1999%5D%20HCA%2042.pdf,https://jade.io/mnc/1999/hca/42,https://jade.io/article/68143
183,[1994]QCA476,http://archive.sclqld.org.au/qjudgment/1994/QCA94-476.pdf,https://jade.io/mnc/1994/qca/476,https://jade.io/article/205998
186,[2007]QCA383,http://archive.sclqld.org.au/qjudgment/2007/QCA07-383.pdf,https://jade.io/mnc/2007/qca/383,https://jade.io/article/17123
188,[2016]HCA35,https://www.hcourt.gov.au/sites/default/files/eresources/2016/HCA/35.pdf,https://jade.io/mnc/2016/hca/35,https://jade.io/article/489654
188,[2016]HCA35,https://www.hcourt.gov.au/sites/default/files/eresources/2016/HCA/35.pdf,https://jade.io/mnc/2016/hca/35,https://jade.io/article/489654
188,[2016]HCA35,https://www.hcourt.gov.au/sites/default/files/eresources/2016/HCA/35.pdf,https://jade.io/mnc/2016/hca/35,https://jade.io/article/489654
188,[2007]QCA66,http://archive.sclqld.org.au/qjudgment/2007/QCA07-066.pdf,https://jade.io/mnc/2007/qca/66,https://jade.io/article/57118
188,[2015]QCA167,http://archive.sclqld.org.au/qjudgment/2015/QCA15-167.pdf,https://jade.io/mnc/2015/qca/167,https://jade.io/article/407749
188,[2016]QCA27,http://archive.sclqld.org.au/qjudgment/2016/QCA16-027.pdf,https://jade.io/mnc/2016/qca/27,https://jade.io/article/447273
