page_no,link_text,link_destination,link_domain,is_jade_link,is_sublink
250,[2014]QCA299,http://archive.sclqld.org.au/qjudgment/2014/QCA14-299.pdf,sclqld,FALSE,FALSE
253,[2006]HCA4,https://www.hcourt.gov.au/sites/default/files/eresources/2006/HCA/4.pdf,hcourt,FALSE,FALSE
258,[2025]QCA152,https://archive.sclqld.org.au/qjudgment/2025/QCA25-152.pdf,sclqld,FALSE,FALSE
258,[2025]QCA111,https://archive.sclqld.org.au/qjudgment/2025/QCA25-111.pdf,sclqld,FALSE,FALSE
259,[2025]QCA186,https://archive.sclqld.org.au/qjudgment/2025/QCA25-186.pdf,sclqld,FALSE,FALSE
259,[2025]QCA186,https://archive.sclqld.org.au/qjudgment/2025/QCA25-186.pdf,sclqld,FALSE,FALSE
260,[2004]QCA481,http://archive.sclqld.org.au/qjudgment/2004/QCA04-481.pdf,sclqld,FALSE,FALSE
260,[2004]QCA481,http://archive.sclqld.org.au/qjudgment/2004/QCA04-481.pdf,sclqld,FALSE,FALSE
263,[2014]QCA289,http://archive.sclqld.org.au/qjudgment/2014/QCA14-289.pdf,sclqld,FALSE,FALSE
263,[2020]QCA57,https://archive.sclqld.org.au/qjudgment/2020/QCA20-057.pdf,sclqld,FALSE,FALSE
270,[2024]QCA238,https://plus.lexis.com/apac/document/documentlink/?pdmfid=1539278&crid=e776bbd4-9c35-4076-ae16-a3b5d5de0b93&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn:contentItem:6DH5-CWP3-MC8F-H0D4-00000-00&pdcontentcomponentid=267708&pdproductcontenttypeid=urn:pct:170&pdiskwicview=false&pdpinpoint=&prid=035b2acd-32ed-48ba-8c9a-dda43acb1f52&ecomp=7g_ck,lexis,FALSE,FALSE
270,[2023]QCA78,https://plus.lexis.com/apac/document/documentlink/?pdmfid=1539278&crid=1a1483c6-e19f-4a16-a678-a363645bf34c&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn:contentItem:683K-BM51-K0BB-S3B5-00000-00&pdcontentcomponentid=267708&pdproductcontenttypeid=urn:pct:170&pdiskwicview=false&pdpinpoint=&prid=c8f70373-9fba-4380-8463-e3671f91a333&ecomp=7g_ck,lexis,FALSE,FALSE
271,[2003]QCA435,https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/?pdmfid=1201008&crid=c50bb7ff-acb2-4654-958a-63d7fec84c23&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A5PB3-H441-FFFC-B09G-00000-00&pdcontentcomponentid=267708&pdshepid=urn%3AcontentItem%3A5PB3-H441-FFFC-B09G-00000-00&pdteaserkey=sr0&pdicsfeatureid=1517127&pditab=allpods&ecomp=hwtpk&earg=sr0&prid=7a737290-5d59-41c4-a16b-618471f9cbbe,sclqld,FALSE,FALSE
271,[2017]QCA11,https://archive.sclqld.org.au/qjudgment/2017/QCA17-011.pdf,sclqld,FALSE,FALSE
272,[2012]QCA156,https://archive.sclqld.org.au/qjudgment/2012/QCA12-156.pdf,sclqld,FALSE,FALSE
272,[2022]QCA108,https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/documentlink/?pdmfid=1201008&crid=1d30bcdb-1ba8-44c3-a48d-9a6504faf7e7&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A65PS-2CC1-F4GK-M1FS-00000-00&pdcontentcomponentid=267708&pddoctitle=%5B2022%5D+QCA+108&pdproductcontenttypeid=urn%3Apct%3A170&pdiskwicview=false&ecomp=g2z2k&prid=4ebd1e4a-1e67-43e8-a783-1d707b2fe1e8,sclqld,FALSE,FALSE
276,[2008]HCA16,https://www.hcourt.gov.au/sites/default/files/eresources/2008/HCA/16.pdf,hcourt,FALSE,FALSE
276,[2008]HCA16,https://www.hcourt.gov.au/sites/default/files/eresources/2008/HCA/16.pdf,hcourt,FALSE,FALSE
276,[2016]HCA14,https://www.hcourt.gov.au/sites/default/files/eresources/2016/HCA/14.pdf,hcourt,FALSE,FALSE
276,[2017]HCA20,https://www.hcourt.gov.au/sites/default/files/eresources/2017/HCA/20.pdf,hcourt,FALSE,FALSE
277,[2018]HCA40,https://www.hcourt.gov.au/sites/default/files/eresources/2018/HCA/40.pdf,hcourt,FALSE,FALSE
277,[2008]HCA16,https://www.hcourt.gov.au/sites/default/files/eresources/2008/HCA/16.pdf,hcourt,FALSE,FALSE
