ch,link_text,link_destination,domain,is_sublink
10.8,(2020) 4 QR 171,https://www.queenslandjudgments.com.au/case/id/512889,queenslandjudgments.com.au,False
10.8,[2018] QDCPR 56,https://www.queenslandjudgments.com.au/caselaw/qdcpr/2018/56,queenslandjudgments.com.au,False
10.8,[2015] 2 Qd R 307,https://www.queenslandjudgments.com.au/case/id/512469,queenslandjudgments.com.au,False
10.8,[1966] Qd R 47,https://www.queenslandjudgments.com.au/case/id/510188,queenslandjudgments.com.au,False
11.1,[2016] QCA 306,https://www.queenslandjudgments.com.au/caselaw/qca/2016/306,queenslandjudgments.com.au,False
11.1,"R v G (1997) 91 A Crim R 590, 599; ",https://anzlaw.thomsonreuters.com/Document/Ia3281200896311e8aca5bab3c9b3f468/View/FullText.html?transitionType=UniqueDocItem&contextData=(sc.UserEnteredCitation)&userEnteredCitation=R+v+G+(1997)+91+A+Crim+R+590%2C+599.&comp=wlau,anzlaw.thomsonreuters.com,False
11.1,[1997] Library 970147. ,https://ecourts.justice.wa.gov.au/eCourtsPortal/Decisions/DownloadDecision/6d6ebe6e-0dac-f1ed-4825-648700767430?unredactedVersion=False,ecourts.justice.wa.gov.au,False
11.10,[2009] QCA 128,https://www.queenslandjudgments.com.au/caselaw/qca/2009/128,queenslandjudgments.com.au,False
11.10,[1998] QCA 333,https://archive.sclqld.org.au/qjudgment/1998/QCA98-333.pdf,archive.sclqld.org.au,False
11.10,"[2019] QCA 135, [55].",https://archive.sclqld.org.au/qjudgment/2019/QCA19-135.pdf,archive.sclqld.org.au,False
11.11,[1996] 2 Qd R 326,https://www.queenslandjudgments.com.au/case/id/507584,queenslandjudgments.com.au,False
11.11,[2013] QCA 223,https://www.queenslandjudgments.com.au/caselaw/qca/2013/223,queenslandjudgments.com.au,False
11.11,[2006] QCA 242,https://www.queenslandjudgments.com.au/caselaw/qca/2006/242,queenslandjudgments.com.au,False
