link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link,instrument_title,section_name,legislation_top_link
3069,477,Section 349,September 2024 11.2.1 Legislation [Last reviewed: January 2026] Criminal Code Section 349 –Rape Section 348 – Meaning of consent (offences committed partly,https://www.legislation.qld.gov.au/view/html/inforce/2024-08-30/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 349,https://jade.io/article/529633
3070,477,Section 348,Legislation [Last reviewed: January 2026] Criminal Code Section 349 –Rape Section 348 – Meaning of consent (offences committed partly or wholly on,https://www.legislation.qld.gov.au/view/html/inforce/2024-08-30/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 348,https://jade.io/article/529633
3071,477,Section 348A,committed partly or wholly on or before 23 September 2024) Section 348A – Mistake of fact in relation to consent(offences committed partly,https://www.legislation.qld.gov.au/view/html/inforce/2024-08-30/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 348A,https://jade.io/article/529633
3072,477,Section 348AA,committed partly or wholly on or before 23 September 2024) Section 348AA – Circumstances in which there is no consent(offences committed wholly,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 348AA,https://jade.io/article/529633
3107,481,Section 347,tober 2000) 11.3.1 Legislation [Last reviewed: March 2025] Criminal Code Section 347 - Rape 11.3.2 Commentary [Last reviewed: March 2025] The definition,https://www.legislation.qld.gov.au/view/html/inforce/2000-09-28/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 347,https://jade.io/article/529633
3115,483,Section 352–Sexual,Sexual Assault 11.4.1 Legislation [Last reviewed: January 2026] Criminal Code Section 352–Sexual assaults Section 245–Definition of ‘assault’ Section 347–Definitions for ch 32(assault),https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 352,https://jade.io/article/529633
3116,483,Section 245–Definition,Legislation [Last reviewed: January 2026] Criminal Code Section 352–Sexual assaults Section 245–Definition of ‘assault’ Section 347–Definitions for ch 32(assault) Section 348–Meaning of,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 245,https://jade.io/article/529633
3117,483,Section 347–Definitions,2026] Criminal Code Section 352–Sexual assaults Section 245–Definition of ‘assault’ Section 347–Definitions for ch 32(assault) Section 348–Meaning of consent Section 348A–Mistake of,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 347,https://jade.io/article/529633
3118,483,Section 348–Meaning,assaults Section 245–Definition of ‘assault’ Section 347–Definitions for ch 32(assault) Section 348–Meaning of consent Section 348A–Mistake of fact in relation to consent,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 348,https://jade.io/article/529633
3119,483,Section 348A–Mistake,‘assault’ Section 347–Definitions for ch 32(assault) Section 348–Meaning of consent Section 348A–Mistake of fact in relation to consent Criminal Law (Coercive Control,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 348A,https://jade.io/article/529633
3122,483,Section 14–Amendment,- Consent Section 348AA–Circumstances in which there is no consent Section 14–Amendment of s 348A(Mistake of fact in relation to consent) Section,https://www.legislation.qld.gov.au/view/html/asmade/act-2024-005,qld,,Criminal Law (Coercive Control and Affirmative Consent) and Other Legislation Amendment Act 2024 (QLD),Section 14,https://jade.io/article/1067156
3124,483,Part 6B Division 3–Jury,"348A–Mistake of fact in relation to consent Evidence Act 1977 Part 6B, Division 3–Jury directions related to sexual offences 11.4.2 Commentary [Last reviewed: January",https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047,qld,,Evidence Act 1977 (QLD),Part 6B Division 3,https://jade.io/article/353262
3160,488,Section 6,August 2023) 11.5.1 Legislation [Last reviewed: February 2025] Criminal Code Section 6 - Meaning of engage in penile intercourse Section 24–Power of,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 6,https://jade.io/article/529633
3161,488,Section 24–Power,Code Section 6 - Meaning of engage in penile intercourse Section 24–Power of person appointed by foreign authority to take evidence and,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047,qld,,Evidence Act 1977 (QLD),Section 24,https://jade.io/article/353262
3162,488,Section 215,appointed by foreign authority to take evidence and administer oaths Section 215 - Engaging in penile intercourse with child under 16 Section,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 215,https://jade.io/article/529633
